מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
P3064,2616032,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,4071344,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3064,4071384,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3064,4319954,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P3
P3064,4320006,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P3
P3064,5890595,Mechanical Equipment,AW 1200,AW 1200,P3
P3064,9463648,Mechanical Equipment,AW 1200,AW 1200,P3
P3005,1728099,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3005,1728100,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3005,2666863,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P3
P3046,2264933,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3087,1728982,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3087,1728986,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3087,3067449,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3087,3067617,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3087,3067625,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3008,1728125,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3008,1746141,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3008,2705140,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3008,2705142,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3008,7534589,Mechanical Equipment,AW 1000,AW 1000,P3
P3008,9464691,Mechanical Equipment,Electrical cabinet,Electrical cabinet,P3
P3101,2262144,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3101,3069005,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3101,3069040,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3101,3125331,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3027,1608277,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,P3
P3027,4320343,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P3
P3017,1728836,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3017,1728983,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3017,3067569,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3017,3067595,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3017,3067603,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3017,3067609,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3067,1730083,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P3
P3067,1730084,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P3
P3067,2119926,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3067,2266867,Electrical Fixtures,Normal x2 WP,Frame_Socket,P3
P3067,3077204,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3067,3077278,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3067,3077373,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P3
P3067,3139420,Electrical Fixtures,Presence WC LM detector Mov,Detector Presence,P3
P3067,3139422,Electrical Equipment,6131_38-183-500,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,P3
