מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
L3073,3880793,Electrical Fixtures,Type 2,Frame_Socket,L3
L3073,3880860,Electrical Fixtures,Type 2,Frame_Socket,L3
L3074,3885964,Electrical Fixtures,W,M_Junction Boxes - W,L3
L3078,1717585,Electrical Equipment,60x160x210 UPS,Yani_Circuit breaker_SwitchBoard,L3
L3078,4325118,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3079,1717562,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,L3
L3079,1717583,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,L3
L3079,4324852,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3079,4325080,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3083,1613814,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3083,1613815,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3087,3953251,Electrical Fixtures,Type 2,Frame_Socket,L3
L3087,3956505,Electrical Fixtures,Type 2,Frame_Socket,L3
L3088,3953186,Electrical Fixtures,Type 2,Frame_Socket,L3
L3088,3956424,Electrical Fixtures,Type 2,Frame_Socket,L3
L3089,3955983,Electrical Fixtures,Type 2,Frame_Socket,L3
L3090,3956077,Electrical Fixtures,Type 2,Frame_Socket,L3
L3091,1750719,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750720,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750721,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750722,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750723,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750724,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750725,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750726,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750727,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750728,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750729,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750730,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750736,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750737,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750738,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750739,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750740,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750741,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750742,Electrical Fixtures,Type 1,Frame_Socket,L3
L3091,1750743,Electrical Fixtures,Type 1,Frame_Socket,L3
